"","airline","hour","Date","X","Sentiment","word1","freq1","word2","freq2","word3","freq3","DEP_DELAY","DEP_DELAY_GROUP","ARR_DELAY","DISTANCE","AIR_TIME","MONTH","DAY_OF_MONTH","DAY_OF_WEEK"
"103","AA",1,2016-07-16,400,0.152,"sorry",9,"agents",6,"airport",5,26.75,1.25,18,1642,193.5,7,16,6
"104","AA",1,2016-07-17,401,0.276530612,"sorry",7,"check",4,"class",4,39.33333333,2.333333333,27,1905,218.6666667,7,17,7
"105","AA",1,2016-07-18,402,0.430769231,"today",4,"always",2,"board",2,123,6,101,1409,168.3333333,7,18,1
"106","AA",1,2016-07-19,403,0.162941176,"please",12,"get",9,"know",9,78.75,5,67.25,1642,201.75,7,19,2
"107","AA",1,2016-07-21,405,0.261702128,"please",10,"sorry",5,"locator",4,347,12,326,2153.5,290,7,21,4
"108","AA",1,2016-07-22,406,-0.048666667,"please",10,"sorry",10,"airport",7,57.2,3.4,48.4,1630.2,197.4,7,22,5
"109","AA",1,2016-07-23,407,0.2235,"sorry",24,"travel",10,"want",10,163.0769231,7.307692308,152.1538462,1484.692308,180.9230769,7,23,6
"110","AA",1,2016-07-24,408,0.464285714,"great",9,"thats",8,"sorry",7,66.5,4,55.5,1252.333333,154.6666667,7,24,7
"111","AA",1,2016-07-25,409,0.537962963,"sorry",11,"please",9,"team",6,80.4,4.2,76.6,1625,199.4,7,25,1
"112","AA",1,2016-07-26,410,0.230208333,"please",8,"share",7,"bitlyaacr",6,75.5,4.5,64.83333333,1689.666667,202.1666667,7,26,2
"113","AA",1,2016-07-27,411,-0.147619048,"bien",2,"got",2,"just",2,162.5,6,150,1794.5,217,7,27,3
"114","AA",1,2016-07-28,412,-0.018181818,"airport",5,"know",4,"bags",3,118.6666667,6.166666667,113.5,1576.333333,193,7,28,4
"115","AA",1,2016-07-29,413,0.15,"know",8,"day",5,"get",5,59.2,3.2,59.6,1946.4,231.4,7,29,5
"116","AA",1,2016-07-30,414,0.053703704,"sorry",8,"now",6,"time",6,108,5.625,96.25,1553.375,187.75,7,30,6
"117","AA",1,2016-10-01,234,0.194444444,"thanks",5,"another",2,"apologies",2,-0.5,-0.5,-20.5,1604,186,10,1,6
"118","AA",1,2016-10-02,244,0.118627451,"sorry",9,"today",8,"please",5,2,-0.5,-3,1604,186,10,2,7
"119","AA",1,2016-10-03,254,0.377027027,"airport",5,"check",5,"happy",5,53.33333333,3,37.33333333,1773.666667,201.6666667,10,3,1
"120","AA",1,2016-10-04,256,0.635,"group",3,"want",3,"always",2,9.5,0,-2.5,1489.5,183.5,10,4,2
"121","AA",1,2016-10-05,257,0.091304348,"bag",5,"team",5,"change",4,-3,-1,-14,1744,196,10,5,3
"122","AA",1,2016-10-06,258,0.5375,"call",4,"today",4,"check",3,-6,-1,-10,1744,191,10,6,4
"123","AA",1,2016-10-07,259,0.352459016,"team",9,"check",8,"sorry",6,3,-0.5,-1.5,1489.5,182.5,10,7,5
"124","AA",1,2016-10-08,260,0.208333333,"want",5,"always",4,"experience",4,27.5,1,13.5,1489.5,180,10,8,6
"125","AA",1,2016-10-09,261,0.08,"now",4,"check",3,"team",3,-5,-1,4,1744,206,10,9,7
"126","AA",1,2016-10-11,235,0.675757576,"airport",3,"bag",3,"support",3,1,0,-9,1744,198,10,11,2
"127","AA",1,2016-10-12,236,-0.021052632,"bacteria",3,"detected",3,"hangars",3,9.5,0,-13.5,1489.5,173.5,10,12,3
"128","AA",1,2016-10-13,237,0.25625,"next",2,"que",2,"samsung",2,8,0,-14,1744,201,10,13,4
"129","AA",1,2016-10-14,238,0.3625,"hour",3,"award",2,"made",2,7,0,1,1489.5,185.5,10,14,5
"130","AA",1,2016-10-15,239,0.228947368,"bag",2,"board",2,"get",2,61,4,39,2342,270,10,15,6
"131","AA",1,2016-10-16,240,0.3125,"airport",1,"americanairlines",1,"april",1,12,0,-17,1744,198,10,16,7
"132","AA",1,2016-10-17,241,0.288235294,"tsa",2,"already",1,"boarding",1,7.5,0,0,1489.5,171.5,10,17,1
"133","AA",1,2016-10-18,242,0.2125,"get",4,"time",4,"well",4,18.5,1,-0.5,1489.5,171.5,10,18,2
"134","AA",1,2016-10-19,243,0.608333333,"airbus",2,"delivery",2,"hamburg",2,88.33333333,3.666666667,70,1104.333333,133,10,19,3
"135","AA",1,2016-10-21,245,-0.018421053,"asap",1,"blocked",1,"bookings",1,29.5,1.5,28,2043,246,10,21,5
"136","AA",1,2016-10-22,246,0.383333333,"help",4,"just",4,"want",4,-3,-1,-24,1744,205,10,22,6
"137","AA",1,2016-10-23,247,0.073529412,"sorry",4,"care",2,"continue",2,4,0,1,1744,210,10,23,7
"138","AA",1,2016-10-24,248,0.317241379,"san",4,"bag",3,"flying",3,40.5,2,38,1795,208,10,24,1
"139","AA",1,2016-10-25,249,0.301515152,"seats",7,"check",4,"seat",4,10,0,10,1744,214,10,25,2
"140","AA",1,2016-10-26,250,0.78125,"team",3,"well",3,"board",2,7.5,0,1,1604,192,10,26,3
"141","AA",1,2016-10-27,251,0.642857143,"please",3,"well",3,"card",2,17.5,0.5,9,1489.5,181,10,27,4
"142","AA",1,2016-10-28,252,0.364705882,"sorry",5,"keep",4,"want",4,58.8,3.4,43.6,2133.6,243.4,10,28,5
"143","AA",1,2016-10-29,253,0.125438596,"sorry",9,"well",9,"soon",6,47,3,27,1235,146,10,29,6
"144","AA",1,2016-10-30,255,-0.23,"help",2,"look",2,"ohare",2,7,0,-10,1744,194,10,30,7
"145","AA",1,2016-11-01,262,0.506349206,"agents",1,"assured",1,"awful",1,-5,-1,-30,1744,194,11,1,2
"146","AA",1,2016-11-02,273,0.395714286,"help",5,"always",3,"service",3,49,2.5,49.5,1795,216,11,2,3
"147","AA",1,2016-11-03,283,0.030769231,"atlmia",2,"delay",2,"hear",2,5.5,0,2,1604,194.5,11,3,4
"148","AA",1,2016-11-05,285,0.101111111,"hear",5,"aadvantage",4,"book",4,23,1,25,1744,214,11,5,6
"149","AA",1,2016-11-06,286,0.552941176,"bag",2,"baggage",2,"care",2,0,0,-10,1744,213,11,6,7
"150","AA",1,2016-11-07,287,0.279545455,"always",3,"please",3,"sorry",3,-2,-1,-8,1744,215,11,7,1
"151","AA",1,2016-11-08,288,0.340789474,"please",8,"crew",7,"always",6,51.5,3,55,1795,227.5,11,8,2
"152","AA",1,2016-11-09,289,0.632142857,"help",3,"aateam",2,"fly",2,37,2,48.5,1744,224.5,11,9,3
"153","AA",1,2016-11-11,264,0.211111111,"thanks",6,"appreciate",2,"delayed",2,11.5,0.5,12.5,1489.5,187.5,11,11,5
"154","AA",1,2016-11-12,265,0.388235294,"sorry",5,"youre",5,"friend",4,-10,-1,13,1744,233,11,12,6
"155","AA",1,2016-11-13,266,0.446153846,"hold",3,"please",3,"reservation",3,0,0,2,1744,219,11,13,7
"156","AA",1,2016-11-14,267,0.747058824,"get",6,"want",3,"counter",2,2.5,-0.5,-4.5,1489.5,187.5,11,14,1
"157","AA",1,2016-11-15,268,0.25,"always",3,"please",3,"announce",2,-4,-1,-5,1744,216,11,15,2
"158","AA",1,2016-11-16,269,0.515217391,"please",4,"buffett",3,"hour",3,4,0,4,1744,196,11,16,3
"159","AA",1,2016-11-17,270,0.46,"customers",1,"disruptive",1,"enjoy",1,-3,-1,-16,1744,196,11,17,4
"160","AA",1,2016-11-18,271,0.73,"bags",2,"airport",1,"already",1,-3,-1,-11,1744,202,11,18,5
"161","AA",1,2016-11-19,272,-0.034210526,"get",4,"sorry",3,"baggage",2,-1,-1,-15,1744,208,11,19,6
"162","AA",1,2016-11-21,274,0.229166667,"please",3,"cabin",2,"call",2,17,1,1,1744,194,11,21,1
"163","AA",1,2016-11-22,275,0.3,"great",3,"arrive",2,"happened",2,46.66666667,2.333333333,29.66666667,1608.333333,182.3333333,11,22,2
"164","AA",1,2016-11-23,276,0.377272727,"please",3,"board",2,"difference",2,-5,-1,-16,1744,198,11,23,3
"165","AA",1,2016-11-24,277,0.384,"partition",3,"want",3,"boarding",2,-3.5,-1,-25.5,1795,203,11,24,4
"166","AA",1,2016-11-26,279,0.25,"please",4,"baggage",2,"case",2,47,2.5,41,1237.5,142.5,11,26,6
"167","AA",1,2016-11-27,280,0.574242424,"team",5,"assist",4,"best",4,27.5,1.333333333,9.166666667,1655.666667,182.3333333,11,27,7
"168","AA",1,2016-11-28,281,0.315277778,"agent",4,"check",4,"reservation",4,3,-0.333333333,-10.33333333,1478.666667,163.3333333,11,28,1
"169","AA",1,2016-11-29,282,0.272727273,"best",4,"like",3,"make",3,-4,-1,3,1744,203,11,29,2
"170","AA",1,2016-12-01,290,0.5265625,"one",3,"backpack",2,"free",2,-7,-1,-10,1744,201,12,1,4
"171","AA",1,2016-12-02,293,0.545652174,"please",7,"team",7,"bags",6,46,2.5,39.5,1981,231,12,2,5
"172","AA",1,2016-12-04,294,0.222916667,"aadvantage",1,"agent",1,"americana",1,-8,-1,-20,1744,204,12,4,7
"173","AA",1,2016-12-08,295,0.440178571,"aviation",1,"changes",1,"climate",1,-6,-1,13,1744,204,12,8,4
"174","AA",1,2016-12-12,292,0.451428571,"well",5,"back",4,"please",4,0,0,-14,1744,199,12,12,1
"175","AA",1,2017-01-01,228,0.577777778,"happy",5,"help",3,"wed",3,25,1.5,13,1934.5,228.5,1,1,7
"176","AA",10,2016-01-01,453,0.324786325,"americanview",1,"beautiful",1,"canyon",1,3.903225806,-0.274193548,-5.693548387,1081.274194,137.6129032,1,1,5
"177","AA",10,2016-01-02,456,0.462886598,"air",1,"ameri",1,"check",1,5.822580645,-0.129032258,-4.129032258,1250.951613,161.2096774,1,2,6
"178","AA",10,2016-01-04,457,0.39186747,"ago",1,"assistance",1,"couple",1,5.95,-0.133333333,0.016666667,1147.366667,149.5833333,1,4,1
"179","AA",10,2016-01-07,458,0.244565217,"please",19,"one",16,"get",14,6.966101695,-0.06779661,-0.457627119,1192.711864,157.9830508,1,7,4
"180","AA",10,2016-01-08,459,0.155905512,"help",48,"please",23,"team",20,-0.454545455,-0.575757576,-6.454545455,1156.681818,149.0909091,1,8,5
"181","AA",10,2016-01-12,455,0.360504202,"well",10,"now",9,"service",8,-1.838709677,-0.677419355,-7.241935484,1157.774194,153.4677419,1,12,2
"182","AA",10,2016-02-01,522,0.27173913,"bags",2,"barely",1,"call",1,1.3,-0.466666667,-6.966666667,1179.2,152.7,2,1,1
"183","AA",10,2016-02-02,525,0.614779874,"april",2,"already",1,"apologies",1,0.05,-0.633333333,-8.783333333,1107.4,143.2666667,2,2,2
"184","AA",10,2016-02-04,526,0.261928934,"flights",2,"arrive",1,"bassinets",1,0.96875,-0.5625,-2.890625,1123.03125,149.21875,2,4,4
"185","AA",10,2016-02-07,527,0.40990099,"please",19,"team",11,"thanks",11,-0.413793103,-0.620689655,-7.310344828,1211.172414,159.9137931,2,7,7
"186","AA",10,2016-02-08,528,0.435148515,"please",16,"team",15,"bag",13,1.923076923,-0.353846154,-3.569230769,1117.953846,145.5692308,2,8,1
"187","AA",10,2016-02-12,524,0.397297297,"happy",8,"now",8,"time",8,5.560606061,-0.136363636,1.075757576,1209.80303,159.6666667,2,12,5
"188","AA",10,2016-03-01,529,0.367725753,"airport",1,"anything",1,"drorka",1,3.578125,-0.28125,0.177419355,1108.28125,150.1935484,3,1,2
"189","AA",10,2016-03-02,540,0.390661479,"available",1,"best",1,"cancelled",1,3.149253731,-0.402985075,4.059701493,1138.656716,153.8507463,3,2,3
"190","AA",10,2016-03-03,550,0.646099291,"get",15,"sorry",13,"please",12,6.803030303,-0.090909091,4.53030303,1206.181818,158.9393939,3,3,4
"191","AA",10,2016-03-04,552,0.418321918,"like",2,"bpoland",1,"complete",1,2.333333333,-0.412698413,-1.142857143,1166.920635,154.5079365,3,4,5
"192","AA",10,2016-03-05,553,0.471875,"change",2,"allowed",1,"bag",1,2.309090909,-0.563636364,-2.781818182,1143.163636,153.5454545,3,5,6
"193","AA",10,2016-03-06,554,0.483516484,"theangryskittle",2,"airpor",1,"baggage",1,2.327586207,-0.482758621,-0.293103448,1342,176.862069,3,6,7
"194","AA",10,2016-03-07,555,0.35970696,"please",29,"well",18,"srjones",16,5.1,-0.283333333,2.783333333,1213.9,161.9833333,3,7,1
"195","AA",10,2016-03-08,556,0.277923977,"please",27,"sorry",26,"well",23,11.625,0.25,19.28125,1228.34375,167.375,3,8,2
"196","AA",10,2016-03-09,557,0.40984252,"row",2,"seat",2,"apparent",1,9.62745098,0.117647059,11.84313725,1229.372549,168.2352941,3,9,3
"197","AA",10,2016-03-11,531,0.285947712,"arrive",1,"back",1,"changes",1,6.566666667,-0.183333333,8.233333333,1101.9,149.3666667,3,11,5
"198","AA",10,2016-03-12,532,0.326458333,"get",22,"want",21,"well",19,1.181818182,-0.418181818,-6.509090909,1212.6,159.6545455,3,12,6
"199","AA",10,2016-03-13,533,0.23742515,"please",2,"attendant",1,"brent",1,3.368421053,-0.350877193,3.280701754,1183.385965,158.7368421,3,13,7
"200","AA",10,2016-03-14,534,0.28994709,"apology",1,"emrey",1,"extra",1,5.757575758,-0.212121212,1.242424242,1219.272727,162.6969697,3,14,1
"201","AA",10,2016-03-15,535,0.485273973,"bag",2,"able",1,"airport",1,2.803030303,-0.363636364,-1.075757576,1237.515152,164.5757576,3,15,2
