"","word","freq","sentiment","delay"
"521","affected",5,0.3786916656,0.108884766
"522","affecting",1,0.392886179,-0.585365854
"523","affection",1,0.61625,0.611111111
"524","affectionat",1,0.219444444,0.8
"525","affects",1,0.625555556,0.428571429
"526","afffe",1,0.0125,0.571428571
"527","affinity",1,1,-0.571428571
"528","afford",12,0.431610564416667,-0.230176767666667
"529","affordable",7,0.460737267857143,0.685921325142857
"530","afilly",2,-0.04375,0.8
"531","afloathickory",2,0.4994871795,2.3333333335
"532","afoot",1,0.005208333,1
"533","afootballlife",1,0.531764706,0.363636364
"534","afraid",6,0.5430840185,0.6591422165
"535","afranklin",1,0.45,0.1
"536","afrcombusinesstrans",1,0.583076923,0.6
"537","afreezyy",1,0.158241758,-0.227272727
"538","africa",3,0.29142999,-0.119047619
"539","africamiranda",1,0.494736842,0
"540","african",3,0.0790695416666667,0.600940758
"541","afriedman",2,0.596590909,-0.375
"542","afsharyusuf",1,0.596551724,0
"543","aft",4,0.62626316675,-0.0160185185
"544","afte",1,0.250625,-0.4
"545","afterall",1,0.091666667,-1
"546","afternoon",23,0.410510173391304,0.376629703043478
"547","afternyet",1,0.480833333,-0.588235294
"548","afterthought",1,0.1125,-1
"549","aftr",1,0.34,-0.125
"550","afvarner",1,0.788513514,-1
"551","afzalmarya",1,0.451666667,-0.153846154
"552","aga",2,0.7464901475,-0.409090909
"553","againdelay",1,-0.633333333,-1
"554","againdo",1,-0.205555556,0
"555","againever",1,0.433333333,-0.75
"556","againfinal",1,0.508333333,2
"557","againin",1,0.539473684,0.730769231
"558","againnnnnn",1,-0.758333333,-0.75
"559","againnow",2,0.143923611,1.3470588235
"560","agains",1,0.362389381,-0.24137931
"561","againstick",1,0.07972973,0.5
"562","againthis",1,-0.26,0
"563","againua",1,0.4375,1.333333333
"564","againwow",1,0.374444444,-0.5
"565","agapexo",1,0.436206897,-1
"566","agates",1,0.666942149,0.764705882
"567","agaub",1,0.43255814,0.25
"568","age",18,0.328498507352941,1.38711755235294
"569","ageless",1,0.320198675,-0.451612903
"570","agelesstravel",1,0.326041667,-0.461538462
"571","agen",1,0.208823529,-0.166666667
"572","agency",6,0.513310525,1.328848485
"573","agenda",6,0.395714286,-0.272727273
"574","agengland",2,0.405882353,-0.941176471
"575","agent",512,0.380630647498339,0.452915042956811
"576","agentdmiller",1,0.317272727,0.555555556
"577","agentesdeviaje",1,-0.1875,-1
"578","agents",248,0.316481475162011,0.459310373782123
"579","agentsom",1,0.761111111,0.5
"580","agentsthanks",1,0.43015873,1.333333333
"581","agentstransferred",1,0.564772727,0.025641026
"582","ages",2,0.5623076925,-0.375
"583","agggie",1,0.079464286,-1
"584","aggravation",1,-0.4,5
"585","aggregate",1,0.01,-1
"586","aggressive",8,-0.052288289625,0.118068910125
"587","agi",1,-0.041666667,-0.2
"588","agian",1,0.4375,-0.5
"589","agilbert",2,0.335172673,2.176923077
"590","aging",1,0.1,-0.25
"591","agn",3,0.266144598333333,0.068922306
"592","agnes",1,0.079464286,-1
"593","agnewevents",1,0.642424242,0.464285714
"594","ago",152,0.266688941978723,0.540460454269504
"595","agobaggage",1,0,-0.4
"596","agogokaren",1,0.10875,0.6
"597","agohas",1,0.75210084,0.290322581
"598","agoit",1,0.682352941,2.80952381
"599","agradecemos",1,0.416666667,-0.25
"600","agree",55,0.434639348781818,0.4026014546
"601","agreecant",1,0.812121212,0.586206897
"602","agreed",17,0.473026103235294,-0.0851001526470588
"603","agreedthe",1,0.469166667,-0.285714286
"604","agreehazmat",1,0.3,0.5
"605","agreei",1,0.830784124,-0.38
"606","agreeing",1,0.23,0.181818182
"607","agreement",8,0.241455084375,-0.246121235625
"608","agrees",3,0.413148148,1.5
"609","agreethats",1,0.194262295,0.9
"610","agricultural",1,0.92202381,-0.055555556
"611","ags",1,0.173255814,-0.1
"612","agschneiderman",2,-0.521428571,-0.5
"613","agsinst",1,-0.134603175,-0.2
"614","agu",1,0.103225806,7.3
"615","aguanta",1,0.450353357,0.837837838
"616","aguirreespn",1,0.168686869,0.633333333
"617","agungw",1,0.444059406,-0.470588235
"618","aha",2,0.3006119165,2.55
"619","ahah",3,-0.277777777666667,-0.666666666666667
"620","ahead",36,0.400310718416667,0.179379388833333
"621","ahem",3,0.0587121213333333,0.916666666666667
"622","aheta",1,0.678571429,-0.227272727
"623","ahh",6,0.2909092285,1.57457264966667
"624","ahhahahha",1,0.1875,5
"625","ahhh",2,-0.1899390245,-0.9375
"626","ahhhh",1,0.331683168,0.375
"627","ahhhhahaha",1,0.377272727,3
"628","ahhhhh",1,-0.144444444,2
"629","ahhhthe",1,0.776530612,-0.230769231
